"y4_hhid","y3_hhid","HHID","case_id","ea_id","panelweight_2019","panelweight_2016","panelweight_2013","hh_wgt","region","district","ta_code","reside","dist_to_IHPS2016location","dist_to_IHPSlocation","dist_to_IHS3location","hhsize","interview_status","qx_type","consent","hh_a11","hh_a22","hh_a23","hh_a31","hh_a37","hh_a40","interviewdate_v1","interviewdate_v2","hh_g09","hh_m00","hh_o0a","hh_s01","hh_w01","consumption_date"
"0001-002","0001-002",1,"101012150028","10101215",735.838876525438,2876.95233596885,2876.95233596885,2876.95233596885,100,101,10101,2,0,0,0,5,1,1,1,1,14,64,1,30,14,"2019-05-25","2019-08-26",2,1,1,2,2,"2019-05-25"
"0001-005","0001-002",1,"101012150028","10101215",244.750435377933,2876.95233596885,2876.95233596885,2876.95233596885,100,101,10120,1,24,24,24,2,1,1,1,1,14,64,1,30,14,"2019-06-01","2019-10-23",2,1,2,2,2,"2019-06-01"
"0002-001","0003-001",5,"101012150022","10101215",417.171390527155,1240.72873981214,,2977.74897554914,100,101,10101,2,0,0,0,7,1,1,1,1,14,58,1,30,14,"2019-05-25","2019-08-26",1,1,1,1,2,"2019-05-26"
"0002-005","0003-001",5,"101012150022","10101215",138.626167995422,1240.72873981214,,2977.74897554914,100,101,10101,2,0,0,0,2,1,1,1,1,14,58,1,58,14,"2019-05-31","2019-08-26",2,1,2,1,2,"2019-05-31"
"0002-006","0003-001",5,"101012150022","10101215",139.057130175718,1240.72873981214,,2977.74897554914,100,101,10101,2,16,16,16,3,1,1,1,2,14,30,1,30,14,"2019-05-27","2019-08-27",2,1,2,2,2,"2019-05-27"
"0003-003","0003-003",5,"101012150022","10101215",280.71222997972,248.145747962428,2977.74897554914,2977.74897554914,100,101,10101,2,0,9,9,4,1,1,1,1,14,70,1,30,14,"2019-05-26","2019-08-26",2,1,2,1,2,"2019-05-26"
"0004-001","0004-001",7,"101012150074","10101215",865.332754867775,3056.6743599704,3056.6743599704,3056.6743599704,100,101,10101,2,0,0,0,8,1,1,1,1,14,64,1,64,14,"2019-05-24","2019-08-26",2,1,1,2,2,"2019-05-24"
"0004-005","0004-001",7,"101012150074","10101215",124.000504996485,3056.6743599704,3056.6743599704,3056.6743599704,100,101,10101,2,0,0,0,2,5,1,1,2,14,64,,,,"2019-05-25",,1,1,2,2,2,"2019-05-25"
"0005-001","0005-001",9,"101012150038","10101215",1930.54392305778,1490.21222147589,2980.42444295177,2980.42444295177,100,101,10101,2,0,0,0,3,1,1,1,1,14,58,1,58,14,"2019-05-24","2019-08-26",2,1,1,2,2,"2019-05-24"
"0006-001","0006-001",11,"101012150021","10101215",1602.27891313992,1490.27938854098,1192.22351083279,2980.55877708197,100,101,10101,2,0,0,0,8,1,1,1,1,14,70,1,70,14,"2019-05-24","2019-08-26",2,1,1,1,2,"2019-05-24"
"0007-001","0007-001",11,"101012150021","10101215",723.659525924976,1490.27938854098,596.111755416393,2980.55877708197,100,102,10220,1,0,0,90,2,1,1,1,1,14,58,1,58,14,"2019-06-19","2019-10-11",2,1,2,2,2,"2019-06-19"
"0008-001","0008-001",13,"101012150026","10101215",964.559952118716,2932.36010170185,2932.36010170185,2932.36010170185,100,101,10120,1,22,0,23,6,1,1,1,1,14,70,1,70,14,"2019-05-27","2019-08-26",1,1,2,2,2,"2019-05-27"
