y4_hhid,qx_type,interview_status,PID,hhmember,baselinemember,baselinemembercount,individualmover,moverbasehh,id_code,hh_b03,hh_b04,hh_b05a,hh_b05b,hh_b05_2,hh_b05_2_1,hh_b06a,hh_b06b,hh_b06_1,hh_b06_2,hh_b06_4,hh_b06_5b,hh_b07,hh_b08,hh_b09,hh_b10a,hh_b10b,hh_b10_oth,hh_b11,hh_b12,hh_b13,hh_b13_oth,hh_b14,hh_b15a,hh_b15b,hh_b15b_oth,hh_b16a,hh_b16b,hh_b17,hh_b18,hh_b19a,hh_b19b,hh_b20,hh_b21,hh_b22,hh_b22_oth,hh_b23,hh_b24,hh_b24_1,hh_b24_1_oth,hh_b24_2,hh_b25,hh_b26a,hh_b26b,hh_b26c,hh_b26d,hh_b26e,hh_b26f,hh_b26g,hh_b26h,hh_b27,hh_b28,hhsize
0001-002,1,1,102,1,1,3,0,.,1,2,1,74,,,,2,1945,2,1,2,,0,7,2,,,,2,50,4,,2,,,,98,,40,1,98,,35,1,15,NYIKA,3,5,,,,,,,,,,,,,,,5
0001-002,1,1,104,1,1,3,0,.,2,2,4,22,,,,2,1997,4,1,2,,0,7,1,,,,1,,,,,,,,98,,12,1,97,,,1,,,3,4,,,,,,,,,,,,,,,5
0001-002,1,1,106,1,1,3,0,.,4,1,4,15,,,,10,2003,6,1,2,,0,7,1,,,,1,,,,,,,,98,,3,1,97,,,1,,,3,6,,,,,,,,,,,,,,,5
0001-002,1,1,4000100205,1,0,3,0,.,5,2,3,46,,,,1,1973,99,1,2,,0,7,1,,,,1,,,,,,,,98,,43,1,1,1,,1,,,3,4,,,,,,,,,,,,,,,5
0001-002,1,1,4000100206,1,0,3,0,.,6,2,12,2,0,1,1,5,2017,99,1,,,0,7,1,,,,1,,,,,,,,97,,,1,1,2,,1,,,,,,,,,,,,,,,,,,,5
0001-005,1,1,4000100501,1,0,1,0,.,1,1,1,32,,,,1,1987,99,1,1,2,0,7,7,,512,,2,3,2,,7,,512,,98,,15,1,98,,20,1,13,,3,1,1,,3,1,2,2016,,,,,,,,,2
0001-005,1,1,105,1,1,1,0,.,2,2,2,18,,,,1,2001,5,1,2,,0,7,2,,,,2,3,2,,7,,512,,98,,1,1,97,,,1,,,3,1,1,,3,1,1,2016,,,,,,,,,2
0002-001,1,1,501,1,1,4,0,.,1,1,1,48,,,,9,1970,1,1,1,1,0,7,1,,,,1,,,,,,,,98,,17,1,98,,27,1,11,,3,1,1,,1,1,11,2017,,,,,,,,,7
0002-001,1,1,507,1,1,4,0,.,5,2,3,16,,,,3,2003,7,1,2,,0,7,1,,,,1,,,,,,,,1,1,,1,98,,13,1,,,3,6,,,,,,,,,,,,,,,7
0002-001,1,1,508,1,1,4,0,.,6,1,3,12,,2,,10,2006,8,1,2,,0,7,1,,,,1,,,,,,,,1,1,,1,98,,9,1,,,3,6,,,,,,,,,,,,,,,7
0002-001,1,1,509,1,1,4,0,.,7,1,3,10,,2,,6,2008,9,1,2,,0,7,1,,,,1,,,,,,,,1,1,,1,98,,7,1,,,,,,,,,,,,,,,,,,,7
0002-001,1,1,4000200109,1,0,4,0,.,9,2,3,24,,,,5,1995,99,1,2,,0,7,1,,,,1,,,,,,,,1,1,,1,98,,21,1,,,3,3,,,,,,,,,,,,,,,7
0002-001,1,1,4000200110,1,0,4,0,.,10,1,3,12,,2,,5,2007,99,1,2,,0,7,1,,,,1,,,,,,,,97,,,1,1,11,,1,,,3,6,,,,,,,,,,,,,,,7
0002-001,1,1,4000200111,1,0,4,0,.,11,2,2,46,,,,3,1973,99,1,2,,0,7,1,,,,1,,,,,,,,98,,20,1,97,,,1,,,3,1,1,,1,1,1,2017,,,,,,,,,7
0002-005,1,1,4000200501,1,0,1,0,.,1,1,1,23,,,,9,1995,99,1,2,,0,7,1,,,,1,,,,,,,,98,,13,1,97,,,1,13,,3,1,1,,1,1,2,2016,,,,,,,,,2
0002-005,1,1,505,1,1,1,0,.,2,2,2,20,,,,2,1999,5,1,2,,0,7,1,,,,1,,,,,,,,97,,,1,98,,17,1,,,3,1,1,,1,1,1,2016,,,,,,,,,2
0002-006,1,1,4000200601,1,0,1,0,.,1,1,1,23,,,,8,1995,99,1,2,,0,7,1,,,,1,,,,,,,,97,,,1,97,,,1,11,,3,1,1,,2,1,2,2018,,,,,,,,,3
0002-006,1,1,506,1,1,1,0,.,2,2,2,18,,,,12,2000,6,1,2,,0,7,2,,,,1,,,,,,,,97,,,1,98,,15,1,,,3,1,1,,3,1,1,2018,,,,,,,,,3
0002-006,1,1,4000200603,1,0,1,0,.,3,2,3,0,0,1,1,5,2019,99,1,,,0,7,1,,,,1,,,,,,,,1,1,,1,1,2,,1,,,,,,,,,,,,,,,,,,,3
0003-003,1,1,3000300301,1,1,3,0,.,1,1,1,32,,,,1,1987,4,1,2,,0,7,1,,,,1,,,,,,,,97,,,1,97,,,1,11,,3,1,1,,2,1,2,2013,,,,,,,,,4
0003-003,1,1,503,1,1,3,0,.,2,2,2,26,,,,11,1992,3,1,2,,0,3,2,,,,2,6,4,,2,,,,97,,,1,98,,23,1,,,3,1,1,,3,1,1,2013,,,,,,,,,4
0003-003,1,1,3000300303,1,1,3,0,.,3,1,3,5,0,2,,5,2014,5,1,,,0,7,1,,,,1,,,,,,,,1,1,,1,1,2,,1,,,,,,,,,,,,,,,,,,,4
0003-003,1,1,4000300304,1,0,3,0,.,4,2,3,1,3,1,1,2,2018,99,1,,,0,3,1,,,,1,,,,,,,,1,1,,1,1,2,,1,,,,,,,,,,,,,,,,,,,4
0004-001,1,1,701,1,1,7,0,.,1,1,1,51,,,,2,1968,1,1,1,2,1,7,1,,,,1,,,,,,,,98,,48,1,98,,23,1,11,,3,1,1,,2,1,2,1989,,,,,,,,,8
0004-001,1,1,702,1,1,7,0,.,2,2,2,45,,,,8,1973,2,1,2,,0,7,2,,,,2,30,4,,2,,,,98,,40,1,97,,,1,,,3,1,1,,3,1,1,1989,,,,,,,,,8
