"y4_hhid","qx_type","interview_status","PID","id_code","hh_c02","hh_c03","hh_c04","hh_c05_1","hh_c05_2a","hh_c05_2b","hh_c05_2_oth","hh_c05_3","hh_c05_4a","hh_c05_4b","hh_c05_4_oth","hh_c05_5","hh_c06","hh_c07a","hh_c07b","hh_c07_oth","hh_c08","hh_c09","hh_c10","hh_c11","hh_c12","hh_c13","hh_c14","hh_c14_oth","hh_c15","hh_c16","hh_c17","hh_c18","hh_c18_oth","hh_c19a","hh_c19b","hh_c20","hh_c21","hh_c21_oth","hh_c22a","hh_c22b","hh_c22c","hh_c22d","hh_c22e","hh_c22f","hh_c22g","hh_c22h","hh_c22i","hh_c22j","hh_c22k","hh_c22l","hh_c23filtera","hh_c23a_1","hh_c23a_2","hh_c23a_3","hh_c23filter","hh_c23b_1","hh_c23b_2","hh_c24","hh_c25"
"0001-002",1,1,"000102",1,,2,2,2,,,,2,,,,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0001-002",1,1,"000104",2,,1,,2,,,,2,,,,2,1,,,,6,1,7,2,,2,7,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0001-002",1,1,"000106",4,,2,5,2,,,,2,,,,1,1,,,,6,1,6,1,6,2,7,,2018,,,,,,,,,,0,0,1000,1500,0,1000,0,0,0,0,0,3500,1,5,,,,,,2,
"0001-002",1,1,"4000100205",5,,1,,2,,,,2,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0001-002",1,1,"4000100206",6,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0001-005",1,1,"000105",2,,1,,1,1,,,1,1,,,1,1,,,,7,1,6,2,,2,7,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0001-005",1,1,"4000100501",1,,1,,1,11,13,,1,11,13,,1,1,,,,7,1,7,2,,2,2,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0002-001",1,1,"000501",1,,1,,1,1,,,1,1,,,1,1,,,,7,1,7,2,,2,2,,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0002-001",1,1,"000507",5,,1,,1,11,14,,1,9,14,,1,1,,,,7,2,6,1,7,2,7,,2019,,,,,,,,,,0,0,3000,0,0,3000,0,0,1000,0,0,7000,1,1,,,,,,2,
"0002-001",1,1,"000508",6,,2,1,1,1,,,1,1,,,1,1,,,,5,1,8,1,5,1,,,,11,1,1,,10,1,2,,,0,0,2000,1500,0,1000,0,0,3000,2000,0,9500,1,1,,,,,,2,
"0002-001",1,1,"000509",7,,2,1,2,,,,2,,,,1,1,,,,4,1,6,1,3,1,,,,11,1,1,,10,1,1,2,,0,0,2000,0,0,3000,0,0,1000,0,0,6000,1,1,,,,,,2,
"0002-001",1,1,"4000200109",9,,1,,2,,,,2,,,,1,1,,,,3,1,8,2,,2,8,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0002-001",1,1,"4000200110",10,,2,9,2,,,,2,,,,2,1,,,,3,1,8,1,3,1,,,,11,1,1,,10,1,1,2,,0,0,600,0,0,1000,0,0,1000,0,0,2600,1,1,,,,,,2,
"0002-001",1,1,"4000200111",11,,2,1,2,,,,2,,,,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0002-005",1,1,"000505",2,,1,,1,11,13,,1,11,13,,1,1,,,,8,1,7,2,,2,4,,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0002-005",1,1,"4000200501",1,,1,,1,11,13,,1,13,14,,1,1,,,,8,1,7,2,,2,2,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0002-006",1,1,"000506",2,,1,,1,1,,,1,1,,,1,1,,,,7,1,6,2,,2,8,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0002-006",1,1,"4000200601",1,,1,,1,4,11,,1,4,11,,1,1,,,,6,1,6,2,,2,9,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0002-006",1,1,"4000200603",3,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0003-003",1,1,"000503",2,,2,1,1,11,11,,1,11,11,,1,1,,,,7,1,6,2,,2,2,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0003-003",1,1,"3000300301",1,,1,,1,11,11,,1,11,11,,1,1,,,,3,1,6,2,,2,2,,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0003-003",1,1,"3000300303",3,,2,1,2,,,,2,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0003-003",1,1,"4000300304",4,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0004-001",1,1,"000701",1,,1,,1,1,,,1,1,,,1,1,,,,8,1,6,2,,2,3,,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0004-001",1,1,"000702",2,,1,,1,1,,,2,,,,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0004-001",1,1,"000706",4,,1,,1,1,,,1,1,,,1,1,,,,8,2,6,2,,2,4,,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0004-001",1,1,"000707",5,,2,1,1,1,,,1,1,,,1,1,,,,7,1,6,1,6,1,,,,11,1,1,,15,1,2,,,0,0,2000,1500,0,0,0,0,0,0,500,4000,1,1,,,,,,2,
"0004-001",1,1,"000708",6,,2,1,1,1,,,1,1,,,1,1,,,,7,1,6,1,6,1,,,,11,1,1,,15,1,2,,,0,0,2000,1500,0,0,0,0,0,0,500,4000,1,1,,,,,,2,
"0004-001",1,1,"000709",7,,2,1,1,1,,,1,1,,,1,1,,,,7,1,6,1,6,1,,,,11,1,1,,15,1,2,,,0,0,2000,1500,0,0,0,0,0,0,1000,4500,1,1,,,,,,2,
"0004-001",1,1,"000710",8,,2,1,2,,,,2,,,,2,1,,,,4,1,6,1,3,1,,,,11,1,1,,15,1,2,,,0,0,500,1500,0,0,0,0,0,0,0,2000,1,1,,,,,,2,
"0004-001",1,1,"4000400109",9,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0004-005",1,5,"000705",1,,1,,1,1,,,1,1,,,1,1,,,,11,3,6,2,,2,2,,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0004-005",1,5,"4000400502",2,,1,,1,1,,,1,1,,,1,1,,,,7,1,6,2,,2,7,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0005-001",1,1,"000901",2,,1,,2,,,,2,,,,2,1,,,,3,1,6,2,,2,2,,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0005-001",1,1,"3000500101",1,,2,2,1,11,13,,1,11,13,,1,1,,,,7,1,5,2,,2,2,,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0005-001",1,1,"3000500104",4,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0006-001",1,1,"001100109",7,,2,2,2,,,,2,,,,2,1,,,,1,1,6,1,0,1,,,,12,1,1,,50,1,2,,,0,0,1000,0,0,0,0,0,0,0,0,1000,1,1,2,,,,,2,
"0006-001",1,1,"001101",1,,1,,2,,,,2,,,,2,1,,,,7,1,8,2,,2,2,,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0006-001",1,1,"001102",2,,1,,1,1,,,1,1,,,2,1,,,,6,1,6,2,,2,9,,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0006-001",1,1,"001106",3,,1,,1,1,,,1,1,,,1,1,,,,7,1,7,1,6,1,,,,11,1,1,,50,1,2,,,0,0,4000,0,0,1000,0,0,3000,0,0,8000,1,1,2,,,,,2,
"0006-001",1,1,"001107",4,,2,2,1,1,,,1,1,,,1,1,,,,7,1,7,1,7,1,,,,11,1,1,,50,1,2,,,0,0,4000,0,0,1000,0,0,3000,0,0,8000,1,1,2,,,,,2,
"0006-001",1,1,"001108",5,,2,2,1,1,,,1,1,,,1,1,,,,5,1,6,1,4,1,,,,11,1,1,,50,1,2,,,0,0,3000,0,0,1000,0,0,3000,0,0,7000,1,1,2,,,,,2,
"0006-001",1,1,"001109",6,,2,2,1,1,,,1,1,,,1,1,,,,3,1,5,1,2,1,,,,11,1,1,,50,1,2,,,0,0,2000,0,0,1000,0,0,0,0,0,3000,1,1,2,,,,,2,
"0006-001",1,1,"3000600110",8,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0007-001",1,1,"001104",1,,1,,1,1,,,1,1,,,1,1,,,,10,1,6,2,,2,4,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0007-001",1,1,"4000700103",3,,1,,1,1,,,1,1,,,1,1,,,,7,1,6,2,,2,2,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0008-001",1,1,"001301",1,,2,2,1,1,,,1,1,,,1,1,,,,11,3,6,2,,2,2,,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0008-001",1,1,"001303",3,,2,2,1,1,,,1,1,,,1,1,,,,12,2,6,1,11,1,,,,21,2,,,,,2,,,150000,0,5000,0,0,0,7000,0,0,30000,0,192000,1,1,2,,,,,2,
"0008-001",1,1,"001304",4,,2,2,1,1,,,1,1,,,1,1,,,,6,1,6,1,5,2,7,,2018,,,,,,,,,,0,0,2500,0,0,1000,0,0,0,0,0,3500,1,1,,,,,,2,
"0008-001",1,1,"001305",5,,2,2,1,1,,,1,1,,,1,1,,,,6,1,6,1,5,1,,,,12,1,1,,5,1,2,,,45000,0,3000,5000,0,0,0,0,0,0,0,53000,1,1,,,,,,2,
"0008-001",1,1,"4000800102",2,,1,,1,1,,,1,1,,,1,1,,,,8,2,6,2,,2,4,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0008-001",1,1,"4000800106",6,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0009-001",1,1,"001501",1,,1,,1,13,13,,1,13,13,,1,1,,,,6,1,8,2,,2,2,,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0009-001",1,1,"001505",2,,2,1,1,13,14,,1,13,14,,1,1,,,,6,1,7,1,5,1,,,,11,1,1,,10,1,2,,,0,0,3000,2200,0,3000,0,0,1000,0,0,9200,1,1,,,,,,2,
"0009-001",1,1,"4000900103",3,,2,1,2,,,,2,,,,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0009-002",1,1,"001504",1,,2,2,1,1,,,1,1,,,1,1,,,,8,1,6,2,,2,7,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0009-002",1,1,"4000900202",2,,1,,1,1,,,1,1,,,1,1,,,,11,2,5,2,,2,4,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0009-002",1,1,"4000900203",3,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0010-001",1,1,"001700102",2,,1,,2,,,,2,,,,1,1,,,,6,1,5,2,,2,7,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0010-001",1,1,"001700103",3,,2,2,2,,,,2,,,,1,1,,,,7,1,4,2,,2,7,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0010-001",1,1,"001700104",4,,2,2,1,1,,,1,1,,,1,1,,,,7,1,4,1,6,1,,,,13,1,1,,5,1,2,,,0,0,2000,0,0,3000,0,0,0,0,0,5000,1,1,2,,,,,2,
"0010-001",1,1,"001700105",5,,2,2,1,1,,,1,1,,,1,1,,,,6,1,4,1,5,1,,,,11,2,,,,,2,,,0,0,2000,0,0,0,20000,0,4000,3000,0,29000,1,1,2,,,,,2,
"0010-001",1,1,"001700106",6,,2,1,1,1,,,1,1,,,1,1,,,,3,1,4,1,2,1,,,,13,1,1,,5,1,2,,,0,0,1000,2000,0,2000,0,0,0,0,0,5000,1,1,2,,,,,2,
"0010-001",1,1,"001701",1,,2,2,1,4,13,,1,4,13,,1,1,,,,8,1,6,2,,2,2,,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0010-001",1,1,"3001000107",7,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0010-001",1,1,"3001000108",8,,2,1,1,13,13,,1,13,13,,1,1,,,,3,1,4,2,,2,7,,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0010-001",1,1,"4001000109",9,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0011-001",1,1,"001900104",4,,2,1,2,,,,2,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0011-001",1,1,"001901",1,,1,,1,1,,,1,1,,,1,1,,,,12,4,6,2,,2,2,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0011-001",1,1,"001903",3,,2,1,2,,,,2,,,,2,1,,,,3,1,5,1,3,1,,,,11,1,1,,8,1,2,,,0,0,2000,3000,0,3000,0,0,0,0,0,8000,1,1,,,,,,2,
"0012-001",1,1,"002101",1,,1,,2,,,,2,,,,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0013-001",1,1,"002301",1,,1,,1,1,,,1,1,,,1,1,,,,10,3,7,2,,2,8,,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0013-001",1,1,"002302",2,,1,,2,,,,2,,,,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0013-004",1,1,"002304",2,,1,,1,1,,,1,1,,,1,1,,,,8,2,6,2,,2,2,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0013-004",1,1,"4001300401",1,,1,,1,1,,,1,1,,,1,1,,,,8,2,7,2,,2,7,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0013-004",1,1,"4001300403",3,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0014-001",1,1,"002500103",3,,2,1,2,,,,2,,,,2,1,,,,2,1,5,1,1,1,,,,11,1,1,,30,1,2,,,0,0,500,1500,0,1550,0,0,0,0,0,3550,1,4,,,,,,2,
"0014-001",1,1,"002501",1,,1,,1,4,13,,1,4,13,,1,1,,,,8,2,7,2,,2,7,,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0014-001",1,1,"4001400104",4,,1,,1,4,13,,1,4,13,,1,1,,,,8,1,7,2,,2,7,,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0014-001",1,1,"4001400105",5,,2,1,2,,,,2,,,,2,1,,,,2,1,6,1,1,1,,,,11,1,1,,30,1,2,,,0,0,500,1500,0,1550,0,0,0,0,0,3550,1,1,,,,,,2,
"0014-001",1,1,"4001400106",6,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0014-002",1,1,"002502",1,,1,,1,1,,,1,1,,,1,1,,,,9,2,6,2,,2,7,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0014-002",1,1,"4001400202",2,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0015-001",1,1,"002701",1,,2,2,1,1,,,1,1,,,1,1,,,,12,4,6,2,,2,1,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
"0015-001",1,1,"002703",5,,2,2,1,1,,,1,1,,,1,1,,,,4,1,5,1,3,1,,,,11,1,1,,20,1,2,,,0,0,0,0,0,0,2000,0,0,0,0,2000,1,1,,,,,,2,
"0015-001",1,1,"3001500102",2,,1,,1,1,,,1,1,,,1,1,,,,12,4,6,2,,2,2,,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
