"y4_hhid","qx_type","interview_status","PID","id_code","hh_e03","hh_e04","hh_e05","hh_e06","hh_e06_1a","hh_e06_1b","hh_e06_1c","hh_e06_2","hh_e06_3","hh_e06_4","hh_e06_5","hh_e06_6","hh_e06_8a","hh_e06_8b","hh_e07a","hh_e07a_1","hh_e07b","hh_e07c","hh_e08","hh_e09","hh_e10","hh_e11","hh_e12","hh_e13_1a","hh_e13_1b","hh_e14","hh_e15","hh_e15_oth","hh_e15_1","hh_e15_2","hh_e15_3","hh_e15_4","hh_e17_1","hh_e17_2","hh_e17_3","hh_e17_3_oth","hh_e17_4","hh_e17_5","hh_e17_6","hh_e17_6_oth","hh_e17_7","hh_e17_8","hh_e17_9","hh_e17_10","hh_e19a","hh_e19b","hh_e20a","hh_e20b","hh_e21","hh_e21_oth","hh_e21_1","hh_e21_2","hh_e21_3a","hh_e21_3b","hh_e21_3c","hh_e21_3d","hh_e21_3e","hh_e21_3f","hh_e21_3g","hh_e21_3h","hh_e21_3i","hh_e21_3_oth","hh_e21_4a","hh_e21_4b","hh_e21_4c","hh_e21_4d","hh_e21_4e","hh_e22","hh_e23","hh_e24","hh_e24_1","hh_e25","hh_e26a","hh_e26b","hh_e26_1a","hh_e26_1b","hh_e27","hh_e28a","hh_e28b","hh_e28_1a","hh_e28_1b","hh_e29","hh_e30","hh_e31","hh_e32","hh_e33","hh_e33_code","hh_e34","hh_e34_code","hh_e35","hh_e35_oth","hh_e35_1","hh_e35_2","hh_e35_3a","hh_e35_3b","hh_e35_3c","hh_e35_3d","hh_e35_3e","hh_e35_3f","hh_e35_3g","hh_e35_3h","hh_e35_3i","hh_e35_3_oth","hh_e35_4a","hh_e35_4b","hh_e35_4c","hh_e35_4d","hh_e35_4e","hh_e36","hh_e37","hh_e38","hh_e38_1","hh_e39","hh_e40a","hh_e40b","hh_e40_1a","hh_e40_1b","hh_e41","hh_e42a","hh_e42b","hh_e42_1a","hh_e42_1b","hh_e43","hh_e44","hh_e45","hh_e47a","hh_e47b","hh_e48a","hh_e48b","hh_e49","hh_e49_oth","hh_e50","hh_e51","hh_e52","hh_e52_1","hh_e53","hh_e54","hh_e56","hh_e57","hh_e58","hh_e59","hh_e59_1a","hh_e59_1b","hh_e60","hh_e61","hh_e62","hh_e63","hh_e64","hh_e65","hh_e66","hh_e67","hh_e68","hh_e69","hh_e70","hh_e71","hh_e71_oth"
"0001-002",1,1,"000102",1,2,5,0,0,1,1,2,2,2,2,2,2,3,,20,3,5,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,".",,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",".",2,,,,,,2,2,,,2,,
"0001-002",1,1,"000104",2,1,,1,1,1,1,2,2,2,2,2,1,3,5,20,3,6,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,".",,,,".",,,,,,,,,,,,,,,,,,,,4,3,2,900,"2",".",2,,,,,,2,2,,,2,,
"0001-002",1,1,"000106",4,1,,0,0,1,1,2,2,2,2,2,1,3,,6,3,16,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,".",,,,".",,,,,,,,,,,,,,,,,,,,2,1,3,500,"4",".",2,,,,,,2,2,,,2,,
"0001-002",1,1,"4000100205",5,1,,1,0,1,1,2,2,2,2,2,1,3,,20,3,8,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,".",,,,".",,,,,,,,,,,,,,,,,,,,5,3,3,1000,"5",".",2,,,,,,2,2,,,2,,
"0001-002",1,1,"4000100206",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,".",,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,
"0001-005",1,1,"4000100501",1,2,2,0,0,2,2,2,1,2,2,2,1,2,5,0,,0,0,0,0,18,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,".",,,,".",,,,,,,,,,,,,,,,,,,,4,2,3,2700,"1","2",2,,,,,,2,2,,,2,,
"0001-005",1,1,"000105",2,1,,0.5,0,2,2,2,2,2,2,2,1,5,,0,,0,0,0,0,27,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,".",,,,".",,,,,,,,,,,,,,,,,,,,4,3,4,2500,"1","2",2,,,,,,2,2,,,2,,
"0002-001",1,1,"000501",1,2,9,0,0,1,1,2,2,2,2,2,2,3,,14,3,1,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,".",,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",".",2,,,,,,2,2,,,2,,
"0002-001",1,1,"000507",5,1,,3,0,1,2,2,2,2,2,2,1,3,,0,,0,0,0,0,42,0,0,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,".",,,,".",,,,,,,,,,,,,,,,,,,,1,1,6,1000,"5",".",2,,,,,,2,2,,,2,,
"0002-001",1,1,"000508",6,2,9,0,0,1,1,2,2,2,2,2,2,3,,0,,2,0,0,0,0,0,0,,,2,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,".",,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",".",2,,,,,,2,2,,,,,
