"y4_hhid","qx_type","interview_status","hh_r0a","hh_r01","hh_r01_specify","hh_r01_101","hh_r01_102","hh_r01_111","hh_r01_112","hh_r02a","hh_r02b","hh_r02c","hh_r03","hh_r04a","hh_r04b","hh_r04c","hh_r04d","hh_r04e","hh_r05a","hh_r05b","hh_r06","hh_r07a","hh_r07b"
"0270-008",2,2,101,2,,,,,,,,,,,,,,,,,,,
"0270-008",2,2,102,2,,,,,,,,,,,,,,,,,,,
"0270-008",2,2,104,2,,,,,,,,,,,,,,,,,,,
"0270-008",2,2,105,2,,,,,,,,,,,,,,,,,,,
"0270-008",2,2,106,2,,,,,,,,,,,,,,,,,,,
"0270-008",2,2,107,2,,,,,,,,,,,,,,,,,,,
"0270-008",2,2,108,2,,,,,,,,,,,,,,,,,,,
"0270-008",2,2,111,2,,,,,,,,,,,,,,,,,,,
"0270-008",2,2,112,2,,,,,,,,,,,,,,,,,,,
"0270-008",2,2,113,2,,,,,,,,,,,,,,,,,,,
"0270-008",2,2,1031,2,,,,,,,,,,,,,,,,,,,
"0270-008",2,2,1032,2,,,,,,,,,,,,,,,,,,,
"0270-008",2,2,1091,2,,,,,,,,,,,,,,,,,,,
"1415-001",2,2,101,2,,,,,,,,,,,,,,,,,,,
"1415-001",2,2,102,2,,,,,,,,,,,,,,,,,,,
"1415-001",2,2,104,2,,,,,,,,,,,,,,,,,,,
"1415-001",2,2,105,2,,,,,,,,,,,,,,,,,,,
"1415-001",2,2,106,2,,,,,,,,,,,,,,,,,,,
"1415-001",2,2,107,2,,,,,,,,,,,,,,,,,,,
"1415-001",2,2,108,2,,,,,,,,,,,,,,,,,,,
"1415-001",2,2,111,2,,,,,,,,,,,,,,,,,,,
"1415-001",2,2,112,2,,,,,,,,,,,,,,,,,,,
"1415-001",2,2,113,2,,,,,,,,,,,,,,,,,,,
"1415-001",2,2,1031,2,,,,,,,,,,,,,,,,,,,
"1415-001",2,2,1032,2,,,,,,,,,,,,,,,,,,,
"1415-001",2,2,1091,2,,,,,,,,,,,,,,,,,,,
"0826-010",1,1,101,2,,,,,,,,,,,,,,,,,,,
"0826-010",1,1,102,2,,,,,,,,,,,,,,,,,,,
"0826-010",1,1,104,2,,,,,,,,,,,,,,,,,,,
"0826-010",1,1,105,2,,,,,,,,,,,,,,,,,,,
"0826-010",1,1,106,2,,,,,,,,,,,,,,,,,,,
"0826-010",1,1,107,2,,,,,,,,,,,,,,,,,,,
"0826-010",1,1,108,2,,,,,,,,,,,,,,,,,,,
"0826-010",1,1,111,2,,,,,,,,,,,,,,,,,,,
"0826-010",1,1,112,2,,,,,,,,,,,,,,,,,,,
"0826-010",1,1,113,2,,,,,,,,,,,,,,,,,,,
"0826-010",1,1,1031,2,,,,,,,,,,,,,,,,,,,
"0826-010",1,1,1032,2,,,,,,,,,,,,,,,,,,,
"0826-010",1,1,1091,2,,,,,,,,,,,,,,,,,,,
"1652-001",1,1,101,1,,"MALAWI GOVERNMENT",,,,,,150,2,1,,,,,1,2,3,4,2019
"1652-001",1,1,102,2,,,,,,,,,,,,,,,,,,,
"1652-001",1,1,104,2,,,,,,,,,,,,,,,,,,,
"1652-001",1,1,105,2,,,,,,,,,,,,,,,,,,,
"1652-001",1,1,106,2,,,,,,,,,,,,,,,,,,,
"1652-001",1,1,107,2,,,,,,,,,,,,,,,,,,,
"1652-001",1,1,108,2,,,,,,,,,,,,,,,,,,,
"1652-001",1,1,111,2,,,,,,,,,,,,,,,,,,,
"1652-001",1,1,112,2,,,,,,,,,,,,,,,,,,,
"1652-001",1,1,113,2,,,,,,,,,,,,,,,,,,,
"1652-001",1,1,1031,2,,,,,,,,,,,,,,,,,,,
"1652-001",1,1,1032,2,,,,,,,,,,,,,,,,,,,
"1652-001",1,1,1091,2,,,,,,,,,,,,,,,,,,,
"0923-003",2,2,101,2,,,,,,,,,,,,,,,,,,,
"0923-003",2,2,102,2,,,,,,,,,,,,,,,,,,,
"0923-003",2,2,104,2,,,,,,,,,,,,,,,,,,,
"0923-003",2,2,105,2,,,,,,,,,,,,,,,,,,,
"0923-003",2,2,106,2,,,,,,,,,,,,,,,,,,,
"0923-003",2,2,107,2,,,,,,,,,,,,,,,,,,,
"0923-003",2,2,108,2,,,,,,,,,,,,,,,,,,,
"0923-003",2,2,111,2,,,,,,,,,,,,,,,,,,,
"0923-003",2,2,112,2,,,,,,,,,,,,,,,,,,,
"0923-003",2,2,113,2,,,,,,,,,,,,,,,,,,,
"0923-003",2,2,1031,2,,,,,,,,,,,,,,,,,,,
"0923-003",2,2,1032,2,,,,,,,,,,,,,,,,,,,
"0923-003",2,2,1091,2,,,,,,,,,,,,,,,,,,,
"0638-005",2,4,101,2,,,,,,,,,,,,,,,,,,,
"0638-005",2,4,102,2,,,,,,,,,,,,,,,,,,,
"0638-005",2,4,104,2,,,,,,,,,,,,,,,,,,,
"0638-005",2,4,105,2,,,,,,,,,,,,,,,,,,,
"0638-005",2,4,106,2,,,,,,,,,,,,,,,,,,,
"0638-005",2,4,107,2,,,,,,,,,,,,,,,,,,,
"0638-005",2,4,108,2,,,,,,,,,,,,,,,,,,,
"0638-005",2,4,111,2,,,,,,,,,,,,,,,,,,,
"0638-005",2,4,112,2,,,,,,,,,,,,,,,,,,,
"0638-005",2,4,113,2,,,,,,,,,,,,,,,,,,,
"0638-005",2,4,1031,2,,,,,,,,,,,,,,,,,,,
"0638-005",2,4,1032,2,,,,,,,,,,,,,,,,,,,
"0638-005",2,4,1091,2,,,,,,,,,,,,,,,,,,,
"1047-002",1,1,101,2,,,,,,,,,,,,,,,,,,,
"1047-002",1,1,102,2,,,,,,,,,,,,,,,,,,,
"1047-002",1,1,104,2,,,,,,,,,,,,,,,,,,,
"1047-002",1,1,105,2,,,,,,,,,,,,,,,,,,,
"1047-002",1,1,106,2,,,,,,,,,,,,,,,,,,,
"1047-002",1,1,107,2,,,,,,,,,,,,,,,,,,,
"1047-002",1,1,108,2,,,,,,,,,,,,,,,,,,,
"1047-002",1,1,111,2,,,,,,,,,,,,,,,,,,,
"1047-002",1,1,112,2,,,,,,,,,,,,,,,,,,,
"1047-002",1,1,113,2,,,,,,,,,,,,,,,,,,,
"1047-002",1,1,1031,2,,,,,,,,,,,,,,,,,,,
"1047-002",1,1,1032,2,,,,,,,,,,,,,,,,,,,
"1047-002",1,1,1091,2,,,,,,,,,,,,,,,,,,,
"1665-001",2,2,101,1,,"GOVERNMENT",,,,,,50,2,1,,,,,1,,1,9,2018
"1665-001",2,2,102,1,,,"CRS",,,,4400,,1,,,,,,1,,1,9,2018
"1665-001",2,2,104,1,,,,,,0,32000,,2,1,,,,,1,,1,12,2018
"1665-001",2,2,105,2,,,,,,,,,,,,,,,,,,,
"1665-001",2,2,106,2,,,,,,,,,,,,,,,,,,,
"1665-001",2,2,107,2,,,,,,,,,,,,,,,,,,,
"1665-001",2,2,108,2,,,,,,,,,,,,,,,,,,,
"1665-001",2,2,111,2,,,,,,,,,,,,,,,,,,,
"1665-001",2,2,112,1,,,,,"UNKNOWN NGO",6000,,,1,,,,,,1,,1,5,2019
"1665-001",2,2,113,1,"GOVERNMENT CHIEFTAINCY ALLOWANCE",,,,,30000,0,,2,1,,,,,1,,12,8,2019
"1665-001",2,2,1031,2,,,,,,,,,,,,,,,,,,,
"1665-001",2,2,1032,2,,,,,,,,,,,,,,,,,,,
"1665-001",2,2,1091,2,,,,,,,,,,,,,,,,,,,
"0846-001",2,2,101,2,,,,,,,,,,,,,,,,,,,
"0846-001",2,2,102,2,,,,,,,,,,,,,,,,,,,
"0846-001",2,2,104,2,,,,,,,,,,,,,,,,,,,
"0846-001",2,2,105,2,,,,,,,,,,,,,,,,,,,
"0846-001",2,2,106,2,,,,,,,,,,,,,,,,,,,
"0846-001",2,2,107,2,,,,,,,,,,,,,,,,,,,
"0846-001",2,2,108,2,,,,,,,,,,,,,,,,,,,
"0846-001",2,2,111,2,,,,,,,,,,,,,,,,,,,
"0846-001",2,2,112,2,,,,,,,,,,,,,,,,,,,
"0846-001",2,2,113,2,,,,,,,,,,,,,,,,,,,
"0846-001",2,2,1031,2,,,,,,,,,,,,,,,,,,,
"0846-001",2,2,1032,2,,,,,,,,,,,,,,,,,,,
"0846-001",2,2,1091,2,,,,,,,,,,,,,,,,,,,
"0658-003",2,2,101,2,,,,,,,,,,,,,,,,,,,
"0658-003",2,2,102,2,,,,,,,,,,,,,,,,,,,
"0658-003",2,2,104,2,,,,,,,,,,,,,,,,,,,
"0658-003",2,2,105,2,,,,,,,,,,,,,,,,,,,
"0658-003",2,2,106,2,,,,,,,,,,,,,,,,,,,
"0658-003",2,2,107,2,,,,,,,,,,,,,,,,,,,
"0658-003",2,2,108,2,,,,,,,,,,,,,,,,,,,
"0658-003",2,2,111,2,,,,,,,,,,,,,,,,,,,
"0658-003",2,2,112,2,,,,,,,,,,,,,,,,,,,
